word,transcription,translation_x
American,,американец/американский
April,ˈeɪprəl,апрель
August,ˈɔːɡəst,август
Christmas,ˈkrɪsməs,Рождество
Congress,,Конгресс
December,dɪˈsembər,декабрь
Democrat,,демократ
Easter,ˈiːstə,Пасха
February,ˈfebrʊerɪ,февраль
Friday,ˈfraɪdeɪ,пятница
I,aɪ,я
Independence Day,ɪndɪˈpend(ə)ns/deɪ,День Независимости
January,ˈdʒænjʊerɪ,январь
July,dʒʊˈlaɪ,июль
June,dʒuːn,июнь
March,mɑːrtʃ,март
May,meɪ,май
Monday,ˈmʌndeɪ,понедельник
Mr,,мистер
New Year’s Eve,njuː,канун Нового года
November,nəʊˈvembər,ноябрь
October,ɑːkˈtəʊbər,октябрь
PM,,после полудня
Republican,,республиканец
Saturday,ˈsætərdeɪ,суббота
September,sepˈtembər,сентябрь
Sunday,ˈsʌndeɪ,воскресенье
T-shirt/a tee,ˈtiːʃɜːt/tiː,футболка
TV,ˌtiː ˈviː,телевизор/ТВ
Thursday,ˈθɜːrzdeɪ,четверг
Tuesday,ˈtuːzdeɪ,вторник
Victory Day,ˈvɪkt(ə)rɪ/deɪ,День победы
Wednesday,ˈwenzdeɪ,среда
a,,артикль
ability,,возможность
able,,способен
about,əˈbaʊt,о/об/около/примерно/
above,əˈbʌv,над/сверх
above/below zero,əˈbʌv/bɪˈləʊ/ˈzɪərəʊ,выше/ниже нуля
abusive,əˈbjuːsɪv,жестокий
accept,,принимать
according,,в соответствии
accountant,əˈkaʊnt(ə)nt,бухгалтер
ache,eɪk,боль
across,,через
act,tuː ækt,играть (на сцене)/действовать
action,,действие
active,ˈæktɪv,активный
activity,,занятие
actor/actress,ˈæktə/ˈæktrəs,актер/актриса
actually,,на самом деле
add,æd,добавлять
administration,,администрация
adult,,взрослый
affect,,воздействовать
after,ˈæftər,после
afternoon,æftərˈnuːn,день (после полудня)
again,,снова
against,əˈɡenst,против
age,eɪdʒ,возраст
agency,,агентство
ago,ˈɡəʊ,назад/тому назад
agree,,соглашаться
air,,воздух
airport,ˈeəpɔːt,аэропорт
