word;transcription;translation;success_number;learning_date
(T1/T2) weighting;ˈweɪtɪŋ;взвешенный;0;
Fourier transform;ˈfʊriːeɪ ˈtrænsfɔːm;преобразование Фурье;0;
Glan Taylor Prism;Glan ˈteɪlə ˈprɪzəm;призма Яна-Тейлораэ;0;
a baseline scan;ə ˈbeɪsˌlaɪn skæn;базовое сканирование;0;
absorption;əbˈzɔːpʃ(ə)n;поглощение;0;
absorption;əbˈsɔːpʃən;поглощение;0;
accidents;ˈæksɪdənts;авария, несчастный случай;0;
action potential;ˈækʃ(ə)n pəʊˈtɛnʃəlz;потенциал действия;0;
adhere;ədˈhɪər;присоединяться;0;
adjustment;əˈdʒʌstmənt;регулировка;0;
alumina;əˈljuːmɪnə;окись алюминия;0;
aluminum (Al);əˈluːmɪnəm;алюминии;0;
amplitudes;ˈæmplɪtjuːdz;амплитуды;0;
an alignment beam;ɑːn əˈlaɪnmənt bi:m;выравнивающий луч;0;
apparent;əˈpærənt;очевидный;0;
appearance;əˈpɪərəns;внешний вид, вид;0;
approximately;əˈprɒksɪmɪtli;приблизительно;0;
aspect ratio;ˈæspekt ˈreɪ.ʃi.əʊ;соотношение сторон, пропорции;0;
asphaltenes;ˈæsfælt(ə)nz;асфальтены;0;
associate;əˈsəʊʃieɪt;соединять, ассоциировать;0;
averaging;ˈævərɪdʒɪŋ;усреднение;0;
bandwidth;ˈbænd.wɪtθ;пропускная способность;0;
beam;biːm;пучок;0;
benchmark;ˈbentʃmɑːk;стандарт, эталон;0;
bind;baɪnd;связывать;0;
bonds;bɒndz;связи;0;
boule;bul;буля;0;
broadband;ˈbrɔːd.bænd;широкополосный;0;
built-in;bɪlt ɪn;встроенный;0;
calcium (Ca);ˈkælsɪəm;кальции;0;
carried out;ˈkærɪd aʊt;проводятся;0;
cell;sel;клетка;0;
cerium (Ce);ˈsɪərɪəm;церии;0;
charge imbalance;tʃɑːdʒ ɪmˈbæləns;несоответствие заряда;0;
charge-density;ʧɑːʤ ˈdensɪtɪ;зарядовая плотность;0;
chromatin;ˈkrəʊmətɪn;хроматин;0;
circuit;ˈsɜːkɪt;схема;0;
colquiriite;kolkiɾiˈite;кольквириит (америко испанское слово);0;
comparable;ˈkɔmpərəbl;сопоставимый, соизмеримый;0;
comparable;ˈkɒmpərəbl;сравнимый;0;
computational;kɒmpjʊˈteɪʃənəl;вычислительный, расчетный;0;
conformation;ˌkɒnfɔːˈmeɪʃən;структура, форма;0;
congruent;ˈkɒŋɡrʊənt;конгруэнтный;0;
contribution;kɔntrɪˈbjuːʃn;вклад;0;
corresponding;ˌkɔːrəˈspɑːndɪŋ;соответствующий;0;
cross-correlation;krɒsˌkɒr.əˈleɪ.ʃən;корреляционная функция;0;
crude;kruːd;сырой, неочищенный, необработанный;0;
cryostat;ˈkraɪəstæt;криостат;0;
crystallography;krɪstəˈlɔgrəfɪ;кристаллография;0;
decay;dɪˈkeɪ;затухание;0;
dipping temperature;ˈdɪpɪŋ ˈtɛmprɪtʃə;температура погружения;0;
direction;dɪˈrekʃn;направление;0;
disease;dɪˈziːz;болезнь;0;
disordered;dɪsˈɔːdəd;неупорядоченный;0;
disturbance;dɪsˈtɜːbəns;нарушение;0;
doughnut;ˈdəʊ.nʌt;пончик;0;
drawback;ˈdrɔːbæk;недостаток;0;
durability;djʊərəˈbɪlɪtɪ;долговечность, прочность;0;
electric field gradient;ɪˈlektrɪk fiːld ˈgreɪdjənt;градиент электрического поля;0;
elevation;ɛlɪˈveɪʃən;подъем;0;
enhanced;ɪnˈhɑːns;улучшенная / повышенная;0;
envelope;ˈenvələʊp;огибающая;0;
equal;ˈiːkw(ə)l;равный, одинаковый;0;
excitations;eksɪˈteɪʃn;возбуждения;0;
existence;ɪgˈzɪstəns;существование;0;
extract;ɪkˈstrækt;извлекать, добывать;0;
